gene	K_18	K_19	G_20	K_21	K_22	K_23	G_24	G_25	G_26	G_27
212483_at	188.3	161.8	204.8	172.8	211.8	127.5	217	219.3	209.3	218.5
212484_at	262.5	211	393	466.5	634.5	319.5	241.3	350.8	464.5	455.8
212485_at	255.8	226.3	395.5	353.3	440	267.8	301.5	385.8	378.3	412.8
212486_s_at	119	77	130	112.3	124.8	102	126	136.5	153.8	187.5
212487_at	367	300.5	566.8	492.3	484.8	366.3	397.3	428.8	340.8	415.8
212488_at	141.5	108	173.5	200.5	220.8	146.3	193	167.3	196.5	291.8
212489_at	91.8	79	107.3	120.3	132.3	97.8	114.5	113.3	119.8	204
212490_at	122.3	94.3	145.5	148.3	164	122.5	167.3	142.3	139.3	200.3
212491_s_at	217.5	238.8	317	267	321.3	249.8	278.3	278.5	274	406
212492_s_at	208	203	448.5	410.5	441.3	245	311.3	343	343.5	350.5
212493_s_at	312.5	409	540.3	460.3	407.8	330	439	518.5	566.8	533.8
212494_at	169.5	147.3	194.5	272	265.8	186.8	203.3	243.3	240.5	312.3
212495_at	268.3	209	366	389.5	425.5	298	258.5	296.3	383	390
212496_s_at	314.5	381.5	476.5	522.8	581.8	464.8	541.5	337.5	467.5	481.8
212497_at	171	149	279.8	282	299.5	166	268.3	271.3	274.3	427.8
212498_at	624.3	432.3	654	732.5	1038.5	585.3	527	665.3	692.5	572
212499_s_at	106.5	84.3	183.3	148.8	223.5	117.5	139	168.8	202.3	187.3
212500_at	143.3	114.5	145.8	172.8	219	144.3	176.3	157.3	200.5	256
212501_at	146.8	254.8	578.8	209.8	539.3	190.5	725	577.3	844.8	942.3
212502_at	175	202.3	165.5	184.8	372.8	144.5	189.8	191	167.3	224
212503_s_at	100.5	118	131.3	109.3	181.5	211	123.3	141.8	142.5	209.5
212504_at	238.5	213.8	299	351	344.5	457.5	268.8	279.3	306.3	334.3
212505_s_at	300.3	254	497.3	448.8	606	273	373.3	515.3	489.5	520.5
212506_at	122.3	131	309	191.5	237	198.3	384.3	320.3	415.5	394.5
212507_at	288.5	264.3	421.5	350.3	497.5	302	396.5	440.3	457.8	390.3
212508_at	202.8	209.8	743.5	345.5	470.8	190	500.3	573.3	798.5	609.8
212509_s_at	143.5	168.5	182	170	221.5	183.5	208.3	178	245.8	302.3
212510_at	176	162.5	282.5	246.8	284.5	196.8	260.5	270.5	313.3	288.3
212511_at	93.3	71.3	142.8	162.5	115.8	88.3	155.5	167.8	157	194.3
212512_s_at	176.5	151.5	170	228	255.5	164.3	180	190	224.5	343.3
212513_s_at	210.8	255.3	278	311	366.5	216.5	237.3	293.8	351	302
212514_x_at	192	158.5	396.3	563.5	647.5	179	538	543.8	501.3	526
212515_s_at	246.3	217.3	391	556.3	561.8	160.5	479	461.8	501	443.5
212516_at	176.3	164	242.3	235	301.8	201.8	248.3	222.5	238.3	315.5
212517_at	118.3	109.8	164.5	143	187.8	137.3	148.3	138	151.5	233
212518_at	266.8	219.3	372.5	388.8	472	296	358.3	405.8	366.8	466.5
212519_at	357.5	426.5	479	439.3	600.8	374.3	567	546.8	570.8	459.8
212520_s_at	225.5	175.8	299.8	260.8	326	188	245	276	252	287.8
212521_s_at	225.5	298	428.5	481.3	265.3	227.3	439	438.5	467.3	470.5
212522_at	113.3	225.5	264.8	288.5	145.8	133.3	242.8	250.3	276.3	282
212523_s_at	96	112.5	128.3	109	132.5	110.5	112	143	151.8	210
212524_x_at	118.5	105.5	144	171	166	130.5	137.3	161.3	163.8	248
212525_s_at	136.8	123	176.3	166.3	248.3	145	189.5	178.3	198.5	336
212526_at	98	121.3	128.8	89.5	161.8	88.3	138	121.5	173.5	179
212527_at	176	129.8	229.3	151.3	234.3	172.5	237.3	227	246.5	281.3
212528_at	193.8	150.3	268	222	285.8	190.5	190.8	243.8	267.5	335.8
212529_at	155	124.8	204.5	202.8	207.3	121.3	152.3	198.8	187.5	309
212530_at	194.3	251.3	247	303.3	280.3	230.8	263	309	377.3	305
212531_at	141.3	105.8	171.8	176.5	174.5	121.3	169.3	136.5	227.5	316
212532_s_at	210	193	378	300.3	385.5	221.8	306.8	317	400.5	471
212533_at	228.8	278.8	210.3	208.3	792.8	208	157.5	208.3	217	340.5
212534_at	186.8	247.5	341.3	267.5	376.3	275.3	224.5	397.3	425	378.8
212535_at	258.3	228.3	504	325	398.5	295.3	505.3	517.8	568.8	510.5
212536_at	108.8	95.5	147.8	145.8	115.3	112	129	151.3	152.3	238
212537_x_at	4877.5	5550	7366.5	5544.3	5222.8	4206.8	8918.3	5666.3	6913.5	5520.5
212538_at	88.3	101.8	119.8	123.8	174.5	149.3	130	109.3	151	194.3
212539_at	313.3	363.5	645.3	449.3	580	284.5	513.3	575.8	667.8	621
212540_at	137.5	125.3	228.3	208.5	265.3	164.8	221.5	207.8	238.5	281.8
212541_at	166.3	160.3	250.8	240.3	319.3	155	228	192.3	221	365.8
212542_s_at	254.5	364.5	361	276.5	282.8	350	198.5	433.8	452.5	497
212543_at	481	256.3	495.5	521.3	534.8	382.5	509.3	551	511	710.8
212544_at	226.5	233	316	293	407.3	219.3	366.3	304	339.5	446.8
212545_s_at	145.8	100.8	193.3	191.5	189.5	136.5	205.5	181	162.8	271.5
212546_s_at	154	209.3	230	235.3	264.5	281.8	288.5	261	331.3	284.5
212547_at	193	173.5	285.8	310.3	443.5	214	256	287.8	345.5	442
212548_s_at	324.3	299	459.8	367.5	406	392.8	438.8	507.8	515.3	441.3
212549_at	226.3	227.8	395.5	309	479.5	302.5	344.5	378.8	458.5	488.5
212550_at	123	102.5	245.3	207	357	135.5	224.8	293.5	350.5	352.3
212551_at	133	90.3	133.3	178	166	121	149.5	133.8	146.3	269.8
212552_at	361.8	426.5	695.8	563	1161	684	562.3	591.5	712	498
212553_at	258.8	176.3	298.5	274.3	563	268	284.8	285.8	376.5	535.8
212554_at	84	66.8	74.3	89.8	89.3	78.3	82.3	77	84	144.8
212555_at	175	172.3	270	287.3	351.3	191.5	331	273.3	288	402
212556_at	160.8	167.8	190.3	177.5	245.8	176.8	231.3	218.8	197.3	309.3
212557_at	184.5	212.8	227	273.8	279.5	256	231.3	309.8	322.3	275.5
212558_at	126.5	89	144.8	154.8	153.8	105	160.3	150.5	186.3	391.8
212559_at	178	129.3	188	217.3	224.8	166.8	181	197.8	210.5	306.3
212560_at	91.5	77.3	764.8	103	113.5	80.8	413.8	595	905.3	526.8
212561_at	178.8	270.5	519.8	306.8	490.8	299	364.8	453.8	614.8	490.5
212562_s_at	150.5	120.8	212.3	203.8	203.3	158.3	214.5	212.5	184.3	274
212563_at	136.3	112	232	176.3	244.5	188.8	194.3	194.3	220.8	318.5
212564_at	213.8	214.5	270	274.3	420	239.8	264.3	276.5	321.3	329.8
212565_at	107.5	70.3	97.3	102.3	128.5	93	110.8	101.8	112.3	174.3
212566_at	211.5	318.5	437.8	404	541.8	259.5	339.5	331	344.5	411.8
212567_s_at	216.8	225.3	325	297.8	428	301	315.3	303.3	338.3	384.3
212568_s_at	133.3	95	174.5	154.8	177	136.8	161	173.3	189.3	265
212569_at	219.5	202.8	382.8	224.3	351.8	272.3	318.8	460.3	487.5	412.5
212570_at	148	127.5	205.8	262.5	334.8	171.5	194.3	211.5	257	279.3
212571_at	278	270.3	400	405.3	498.3	322	312	401.3	404	386.5
212572_at	113.3	118	135	159.8	156.5	119.5	218	185.3	218	257.3
212573_at	217	269.8	287.5	290	515	241.5	225.3	290.3	320.5	301
212574_x_at	126.8	76.5	387	318	420.5	179.8	338.3	412.8	278.5	354.3
212575_at	101	82.5	176.5	222	206.3	106	180.8	229.3	153.3	258
212576_at	275.3	304.5	407.5	335.3	498	304	416.5	391.5	422.5	424
212577_at	446.8	380.3	668	1007.8	637.3	686.8	695	878.5	937.5	745
212578_x_at	4457.8	5124.5	7901.3	5483.5	6009.3	3998.8	7787.5	6438.3	7956	5713.5
212579_at	394.8	360.8	476	733.8	540.5	363.3	575	527.3	742.3	355.8
212580_at	88	67.5	101.8	110.3	120	90.8	104	99.3	122	202.8
212581_x_at	1476.8	1244	2901.5	3322.8	3351.8	1313.8	4621	2319.5	3162.5	2828.5
212582_at	245.3	317.3	816	467.8	199.3	313.8	513	780	835.8	575
212583_at	117	130.3	152	173.3	190	150	139.5	170	174.3	249.8
212584_at	229	185.3	355	327.3	410	291.3	335.8	412.8	353	424
212585_at	127.3	144.3	289.8	232.3	159.8	153.8	258.5	319	334	280.8
212586_at	352	385	676.8	655.8	793.3	493.8	557.3	614.5	666.3	688.3
212587_s_at	659	325.5	1900.8	1709.8	713.8	667.3	1096.3	1723.5	1482	984.8
212588_at	587.8	585.5	1308.8	1110.3	659.8	488.5	1239.5	1290.5	1392	856.5
212589_at	184.3	150.3	236.5	314.8	315.5	268.3	235.3	290.3	272.5	352.8
212590_at	173	215.8	442.5	375.5	574	244.3	457.3	417.3	561	437
212591_at	263.3	301.3	305.3	283.5	383.5	264.3	270.8	302.5	420.3	396
212592_at	66.8	269.3	904	84	164.5	67.3	2154.3	936	1103.5	1004
212593_s_at	687	467.5	751.3	709.5	1213.5	740.8	668.5	782.3	1042	575.5
212594_at	156	119.5	164.3	200.8	283.3	119	183.5	179.5	237.3	251
212595_s_at	407	651	1788.3	1095	1562	513	1912.5	1925	1738.5	1590.3
212596_s_at	193.8	219.3	289.8	224.3	299.5	241.8	236.8	234.3	350	345.3
212597_s_at	144.5	123.3	171.3	162	183.3	131.3	140.5	165.3	220.8	232
212598_at	91.3	88.3	125.3	137.8	142.8	101	131.3	149	154.5	245.3
212599_at	149.8	173	232.3	155.3	189	177.8	164	227.5	318.3	301
212600_s_at	299.5	374.3	474.8	362.8	430.8	255.3	447.8	411.8	492.8	515.8
212601_at	181.3	244.5	346.3	236	375.3	263.8	376	339.8	361.8	407
212602_at	124.5	91.5	132	148	168.3	123	155.5	133.3	163.3	291.8
212603_at	165.3	148.5	163.3	169.5	265	165.3	159.3	168	194	244.8
212604_at	148	144	163.5	175	213	161.3	127.3	156	157.3	228
212605_s_at	285.8	308.3	429.8	338.8	582.8	198.3	373.3	418.3	569.3	478.5
212606_at	91.3	66	94.5	108.3	106	81.5	112.8	111.3	126.8	164.3
212607_at	141.3	153	229.8	274.3	323.5	202.5	262.5	255.8	272.8	253.5
212608_s_at	544.8	697.3	753.8	712.8	841.3	710.5	678	678.5	754	804.5
212609_s_at	85.3	145.3	121.8	118.3	148.8	111.3	114	135	168.5	242.3
212610_at	163.5	235.3	314	299.3	401	270.3	305.3	300.8	380.3	327.8
212611_at	208.3	162	1136.5	208.3	401.5	319	624.8	645.8	1095.5	731
212612_at	113.5	86.5	195.8	178.5	156.5	119.3	190.5	204	206.5	239.8
212613_at	143	211	247.5	161	245.3	231.3	226.8	213	236.8	301.8
212614_at	672.8	1085	853.5	767	1124.3	473.8	584	1045.3	803.5	772.3
212615_at	87.8	88.5	164.3	118	118.8	103.3	181.5	140	189.5	180.3
212616_at	207.5	223	319.5	287	286.5	335.3	237.8	413.5	318.5	341
212617_at	164.3	123.3	198.8	202	260.3	169.8	188.3	196.8	213.8	304.5
212618_at	152	120.8	205.5	171	220.5	159.8	220	193.8	213.3	282.3
212619_at	106	88.3	125.3	158.8	215.3	101.3	140.3	137.5	143	227
212620_at	212.5	158	226.8	268	267.5	187	245	217.8	251.5	376.3
212621_at	209	183.5	238.5	312.5	368.8	195.8	188.8	247.5	219.5	315.8
212622_at	209.3	165.3	321.8	220.8	357.3	250	369	299.8	335.5	313.5
212623_at	168.3	113.5	220.3	203.8	274.8	173.8	225.8	227	283.5	336.3
212624_s_at	171.3	118	233.8	274.5	288	162.3	256	209.8	252	271.5
212625_at	267.3	247.3	382.3	382.8	382.3	280.8	370.5	387.5	410.3	523.5
212626_x_at	581	597.5	992	713.8	1098	599.3	903.5	855	1006.8	841.8
212627_s_at	153.3	174.5	292.8	226.5	305	184	230.3	271.8	372.3	362.5
212628_at	137.3	123	216.3	229.8	196.5	179.5	194.8	207.5	280	252.3
212629_s_at	170.8	99.3	211	251.3	172.8	161.3	180.8	266.8	204	232.8
212630_at	243.8	245.3	306.3	316.5	380.3	260.3	294.5	299	328.3	335.5
212631_at	278.8	247.3	326.3	613	463.3	310.3	285.8	424.5	366	377
212632_at	448.5	359.8	401.8	569.5	627	481.3	362.8	476	402	469
212633_at	108.3	96.5	156	158.8	155.3	123.3	185	184.3	215.8	184.8
212634_at	126.3	87.3	163.8	180	200.5	148.3	155	197.5	179.3	198.8
212635_at	162.8	167.8	231.5	236.5	206.5	173.3	241.3	222.3	247	241.3
212636_at	70	57.3	78.8	72.3	77	62	100	78.5	122	186.3
212637_s_at	57.3	52.3	66	77.3	73.3	62.5	72	68.3	92.3	125
212638_s_at	150.3	134.3	226.3	209	208.5	168.5	234	245.8	287.5	318.5
212639_x_at	943.3	1785.8	1891	1857.8	3202.8	1388.3	2160.3	1834.8	1971.8	1793.8
212640_at	159.3	451.8	316.8	279	233.5	168.8	235.3	290	430.8	318.8
212641_at	158.3	170	184.5	243.5	238.3	245	145.5	198.3	185.3	259.5
212642_s_at	246.5	300.3	214.3	288	349.3	275	212	237.3	304.3	224.5
212643_at	488	621.8	880.3	719.3	822.3	460	710	724	988.8	797.5
212644_s_at	170.3	191	273.3	227.5	265.8	182.3	215	236.8	344.5	327.8
212645_x_at	250	212	335	348.3	413.3	277.3	323.5	350	384.3	416.3
212646_at	130.5	236.3	797.5	313.5	600.8	242.8	498.3	598.8	825.5	715.8
212647_at	111.3	110.5	138.5	145	192.5	117.5	176.3	144	158.8	352.3
212648_at	111.8	127.8	139	118.3	172.3	119.5	150.3	152	176.5	214
212649_at	115.8	99	165.3	189.3	166.8	133.3	140.5	145.3	179	190.8
212650_at	112.5	84.5	133.5	139.5	132	112	115.3	120.8	136.8	207.3
212651_at	80.5	57.3	86.3	84	83.5	72	100	88.8	103.3	240
212652_s_at	186	174.5	203.5	249.5	386.5	182.5	233.8	193	255.5	215.3
212653_s_at	127	129.3	172.3	168.5	179.5	141.5	157.3	169.8	188	228.5
212654_at	103.3	77.5	101.3	123	117.3	96.8	116.5	94.3	114.3	241.5
212655_at	87.8	88.8	125.8	116.5	133.5	104.3	105.5	108.3	136.5	214.3
212656_at	201.3	177.5	329.5	302.5	346.3	229	281.5	318.3	270.3	394.3
212657_s_at	128.3	97	149	169.3	165.3	125.8	172	176	200.8	267.5
212658_at	262	242.3	338.5	343.8	498.3	274.3	289.3	321	304.8	412
212659_s_at	180	140.8	215.3	273	269.3	168.5	224.8	233.3	264	312.3
212660_at	471.5	570.3	900.3	776.8	1556	500.3	739.8	697	824.3	755
212661_x_at	3125.5	4824.3	6193.5	4637.5	6450.3	4439.5	8158.5	5992.5	5125	5448.5
212662_at	106.5	76	114.3	128.3	129	98	129.8	111.5	125.5	212.8
212663_at	247	332.5	478.8	423.8	576.8	289	446.3	409.5	536	474.3
212664_at	127	114	155.3	196.3	170	144	166	171	190.8	266.3
212665_at	239.5	277.5	234.5	308.8	415.8	225.8	171.8	209	280	299.3
212666_at	141.8	123.3	255	202	241.5	162	240.5	237.8	302.8	286
212667_at	108.5	71.8	94.8	118.5	116	99.3	105.8	102.3	112	179
212668_at	93	80.8	129.3	112	135	105.3	97.5	113.3	133	240.3
212669_at	174.3	165.8	234.3	208	262.3	185.5	212.5	238	250.3	340.8
212670_at	156.3	129	187.8	256.8	246	145.8	191	179.3	222.3	322.5
212671_s_at	1506	1819.3	2784.8	2048.3	1796.8	573.3	2631.5	2761.3	2454	1800.5
212672_at	336.8	354.3	331	397	249.3	363.3	208.8	461	459	330.8
212673_at	195	198.3	322	249.5	369	205.8	344.5	349.8	375.5	404.8
212674_s_at	184.5	198.8	280.5	237	332.3	226.3	242.5	278.3	265.5	335.5
212675_s_at	168.8	317.5	230.5	281.8	334.8	173.8	192.8	198	314	301.5
212676_at	104.3	112	148	119	181.8	111	195.8	189.3	203.3	266.3
212677_s_at	193.5	253.5	318.3	375.5	430	210.3	219.3	285.8	311.3	254.3
212678_at	127.3	120	142	133.5	170.5	121.3	139.5	164.5	179.3	265
212679_at	146.3	103.5	180.3	163	260.3	126.5	178.5	162.5	200.3	205
212680_x_at	176.5	172	284.5	230.5	340.8	216.8	271	262.8	275.3	383.3
212681_at	60	59	69	82	77	64.3	80.3	66	90.3	149.5
212682_s_at	368	355.3	614.8	594.5	775	428.5	595.3	519.8	627.5	707.5
212683_at	152	145.5	186.3	189	310.5	191.3	162.5	188.8	230.8	235.3
212684_at	134.3	133	185.5	174.5	259	140.5	125.5	173.5	222.3	291.3
212685_s_at	122.5	108.8	141	162.5	242	117.3	164.3	140.8	143.3	218.3
212686_at	81.8	60.8	78.3	104	87	83.3	103.5	76.8	97.5	166.8
212687_at	180.3	114.3	172.5	280	284	241.3	222.3	168.8	216.8	245.3
212688_at	109.8	89.8	145.8	164.3	165.3	112.3	148.8	140.3	157.3	208.8
212689_s_at	228	204.5	424.8	306.3	421.3	203.5	455.3	428.5	506.5	394.8
212690_at	185	245.3	268.8	248.8	318.5	270	274.5	340	332.3	301.8
212691_at	220.5	210.5	334	353.5	342	290	332.5	333.8	324.8	384.3
212692_s_at	138.3	223.3	283	246.3	262	209	272.5	342.3	403	272.5
212693_at	222.8	168	286.3	280.3	401	279.5	284.3	300.8	339.5	374.8
212694_s_at	138	140.3	259.3	224.3	275	184.3	244.3	220.8	251.3	344.8
212695_at	196	182	258.8	249.8	344.5	219.8	245.3	262	258.8	345.3
212696_s_at	304.3	360.8	480.3	411	550.5	360	427.8	494.8	563.8	586.5
212697_at	350.8	456	594.8	513.8	843.8	468.3	526.3	465.8	605.8	574.3
212698_s_at	65.5	230.3	88	81.3	224	184.8	94	80	92.5	155.5
212699_at	203.3	168	258	272.5	313.3	211.5	319.3	273.5	295.8	386.3
212700_x_at	120.3	113	195.3	175.5	225.8	127	188	177.8	209.8	300.3
212701_at	177.5	136.3	226	204.5	249.8	173	217.5	192	241	267
212702_s_at	247.8	168.5	310.8	540.8	564.5	425.3	289.3	328.5	291.5	414.3
212703_at	140.5	116.8	179.3	184.5	204	137.3	163	180.3	212.3	297.5
212704_at	307.8	296.3	458.8	473	486.5	348	306.3	493.5	547.3	312.3
212705_x_at	254.8	188	339.8	276	363.5	222.3	337.3	314.5	317.5	368.3
212706_at	84.3	78	193.5	133	368	104.5	122.3	165.3	225	299.5
212707_s_at	160.3	127.3	204.3	196.5	229.5	151.3	177.3	194	187.8	356.3
212708_at	717	605.5	936.3	878.5	1227.3	611	745.8	873.3	832.5	731.3
212709_at	96.3	87.5	131.8	150	158.8	98	115.5	146.8	185.3	205.3
212710_at	140.5	126.3	200.3	247.5	237.3	148.3	187	195	203.5	261.8
212711_at	128.5	117	187.3	221.3	202.3	149	182	171.3	215	248.3
212712_at	137.3	139	218	267	252	169.8	204.3	234.3	271.8	279.5
212713_at	141	122.3	158	188.8	183.3	143	197	167.8	161.3	392.3
212714_at	165.3	166.5	199.5	237	250	217.5	220.3	240.5	268.3	239
212715_s_at	136.8	206.5	396	175	338.5	162.3	248	347.3	357.8	397
212716_s_at	445.3	641.5	1100	663.8	1103.5	409.8	884.8	881.3	1153.5	985.5
212717_at	220	264.8	348	292.3	467.5	230.3	268.3	240	457.5	406.5
212718_at	385.5	320.3	680.5	459.3	447.3	501.5	688.5	791.5	894.8	633.3
212719_at	75.3	68.3	127.3	105	99.3	80.3	130.3	110.3	168	220.8
212720_at	120.3	81	226	182.5	179.5	119.3	209.8	310.5	320.8	301
212721_at	245	254.8	324.8	355.8	317.3	257.3	418.8	395	443.3	397.5
212722_s_at	114.5	122.8	163.5	162.5	196.3	134	184	160	189.8	310
212723_at	120	157.8	226.8	211	303	191	262	226	278	355.8
212724_at	100	77.3	122.5	115.3	153.5	87.3	115.5	114	126.3	183
212725_s_at	367.3	414.8	646.3	444	833.5	586.5	540.3	666.3	667.5	550.8
212726_at	177.5	163.8	249.3	189.8	249.3	202.5	234.3	248.3	275.5	296.5
212727_at	226.5	162.3	227.3	276	318.5	191	231.8	243.3	226	271.8
212728_at	152	137.5	164.8	209	264.3	164	245.5	180.8	242.8	395.8
212729_at	122	107.5	174.3	148	243.5	122.3	181.5	171.3	198.8	256
212730_at	162.8	112.3	190	200	232.3	147.3	169.8	224	216.3	286
212731_at	94.5	91.3	107.3	113.3	144.5	108.5	143.8	124	129.3	169.3
212732_at	76.3	64	88.8	95.5	107.5	77.5	83.3	80.3	107	206.5
212733_at	335.5	404.5	557.8	390.8	720.5	452.5	468.3	477.8	639.3	529.5
212734_x_at	7722.5	8098	12261	9357.3	10531.8	5986.5	12602	9796	10633.8	7505
212735_at	317.8	210.8	429	404.5	565	351.8	290.8	441.5	338.3	352.5
212736_at	137.8	94.8	143.8	164.5	171.5	144.3	168.8	147	164.5	239.3
212737_at	295.5	334.3	433.3	418.8	742.5	545.5	422	475.5	470.3	454.5
212738_at	262.5	201.8	367	271.5	419.3	309	355.3	245.5	360.5	357.8
212739_s_at	128.3	120.8	276.3	156	239.5	140.3	244.8	250.5	288	423
212740_at	160.8	136.3	196.3	204.8	268.5	203.8	182.3	185	218	252.5
212741_at	154.3	124.5	197.8	212	266.5	170.3	143	168.8	206.8	294.3
212742_at	219.5	160	282	330.5	374	222.3	248	283.3	224.3	290.3
212743_at	105.8	93.3	136.3	184.3	164	108	151.3	136.3	163.8	213.5
212744_at	173	141.3	178.5	212.8	251.5	157	173	188.3	179	299.8
212745_s_at	139.8	96.3	146.5	147.8	188.8	118.5	139	148.5	155.5	271.3
212746_s_at	176.5	160.5	246.3	308.3	278.3	226.3	269.5	297	276	301.8
212747_at	124.3	83.3	161.5	142	174	118.3	147.8	149.8	172	235.8
212748_at	160.8	145.5	271.3	253.8	239.3	163.8	222.5	243.8	303.5	342.3
212749_s_at	122	150.5	143.3	139.3	187	134.8	106.5	159.3	171.3	289.8
212750_at	439	327.8	835	394.5	921.8	605	511.5	612.8	813.3	682.5
212751_at	199.8	228.5	325.5	297.3	311.3	208.5	352	378.3	351.5	443
212752_at	182	156.3	255.5	253	313.3	207	231.8	236.5	292.3	347.8
212753_at	157	201.5	266.5	256.8	311.3	226	227.3	254.5	277.8	292
212754_s_at	164.5	169.5	265.3	255.8	271.8	178	222.3	256.3	310.5	335.3
212755_at	127.3	78	112.5	122.3	119.3	99.3	112.5	143	125.3	185.3
212756_s_at	158.3	156.3	238.5	231	278	186.8	269.5	279.5	256.5	376.3
212757_s_at	221.8	223.5	386.3	302	478	257.5	362	366	438.8	413.5
212758_s_at	217	123.8	312.8	395.8	290.5	176.8	258.8	311.8	229.8	329.3
212759_s_at	169.8	113.3	194.5	219	232.3	162	181.8	181.5	199.5	301
212760_at	229.5	201.5	312.3	246.5	419.5	281	362.8	368	421	424.8
212761_at	102.5	100.3	137.3	148.3	133	101.3	164	161	263.5	193.5
212762_s_at	64.8	61.3	105.3	103.8	97	78.5	108.3	109.5	141	155.5
212763_at	109.8	97.5	153.8	182.5	225.5	134.3	171.5	159	185	264.8
212764_at	144	153.8	175	215.5	187	156	186.5	221.3	213.5	269.3
212765_at	105.3	65.3	99.3	130.5	128.3	88.3	110.3	98.3	120	180
212766_s_at	196	168.8	256.8	238.5	337	201	257.8	234	303.5	381
212767_at	275	244.8	332.5	296	361	253.8	228.5	328	336	495
212768_s_at	67.3	59.8	76.3	82	86.8	74.5	86.5	76.8	91.5	153
212769_at	95.8	104	149.5	158.8	194.3	125.8	151.5	148.5	161	301.3
212770_at	212.5	203.5	392.3	290.8	545.3	267.3	335.5	372.3	418.5	481
212771_at	106.5	108.5	147.3	165	162.8	110.8	170	132.3	152.8	316
212772_s_at	136	105	168	173.5	175.8	122	167.3	161.8	196	257
212773_s_at	351	344.5	451.5	415.3	560.8	232.3	331.3	438	637.3	541.8
212774_at	259	412.3	768.8	329.5	552.3	432	634	856.5	1042	617
212775_at	89.3	64	85.5	103.5	117.3	85.8	105	96.3	104.3	205.5
212776_s_at	108.3	98.5	138.5	159.3	173.3	112.8	139.3	140.5	141.5	206
212777_at	236.8	166	281.8	285	280.8	203.5	244.3	264.3	299.8	292
212778_at	169.3	137.5	250.3	291.8	288.5	243.3	245.8	205.3	221.3	318
212779_at	199.8	177.8	232.5	272.8	192.3	220.5	236.5	334.5	259.5	262.3
212780_at	130.5	200.3	196.3	229.3	206.3	186	168.8	158.8	244.3	264.5
212781_at	219.8	163	248.8	274.3	259	195.3	263	289	230	257.8
212782_x_at	326.8	486.3	821.3	747.8	963.5	420.5	649.3	651.8	682.8	799.5
212783_at	366	325	420.8	447	383.8	466.8	409.3	434	403.3	425.3
212784_at	284.8	238.5	450.5	445.5	539	404.8	418.5	498.3	393.5	414
212785_s_at	203.3	190	250	236.8	313.3	241.3	331.5	299.8	314.8	293.8
212786_at	175.3	162.3	333.5	233.5	277	176.8	243.3	237.5	325.8	340
212787_at	278.8	230	378.8	383.5	439.8	253.3	332.5	364.8	445.8	461.5
212788_x_at	2559.8	3924	5498.5	3291.5	6015.8	2954.3	6077.5	5007	5033.3	4920.3
212789_at	165.8	155	211.3	197	250.3	154.5	203.8	189.5	256	358.8
212790_x_at	8325	9564.8	13780.8	9791.3	13789.5	8020.8	15425.8	11349	10889.5	10323.5
212791_at	146.8	132.5	164.3	214.5	299.5	171.8	194.8	183.3	206	288.5
212792_at	103.8	93.8	116.5	119	120.5	111.5	120	131.8	138	213.5
212793_at	133.3	104.3	155.5	169	218	144.8	218.5	189.3	194.3	268.5
212794_s_at	308.5	272.8	787.3	524.8	353.3	336	563	776.5	474.8	451
212795_at	241.5	276.5	660.3	387.8	412.3	415.8	664	695.8	720	636.8
212796_s_at	177	124	217.5	212	297.5	140.3	223.8	205.5	301.3	393.5
212797_at	68.5	59.3	73.8	96	82	73.5	100.3	78.5	93.3	173.5
212798_s_at	197.3	187.3	225.5	290.8	251.3	224.8	225.3	218.3	240.5	323.8
212799_at	173.5	154.8	235	203.3	330.3	203	241	255	290.8	316.5
212800_at	98.5	81.5	128.5	136.3	140.3	94.3	120	123	123.5	196.5
212801_at	200.3	163.3	252.8	294.5	346.8	206.3	231.3	264.5	264	269.8
212802_s_at	140.3	178.5	226	212	298.8	197	197.8	224.8	361	279.3
212803_at	176.8	170.5	205.8	265.3	299.3	233.5	208	205.5	237.8	282.5
212804_s_at	82.5	81	102.5	124	122.5	96	97	112.3	155.8	234
212805_at	126.3	90	127.3	132	151.3	106.8	114.3	139	150.3	202.3
212806_at	81	65.8	90	92.8	103	88	86.5	86	105.8	191.5
212807_s_at	142.8	116.3	166	172.8	150.8	136.5	162.3	164.5	177.3	362.5
212808_at	188.5	129.8	345.8	351.8	499.3	244.3	283.8	308.8	365.3	372.5
212809_at	243	232.5	408.3	391.8	546.5	320.3	367	395.3	408	401.5
212810_s_at	153.3	127.3	209.3	193	224	142.3	210.3	185.5	236.3	289.8
212811_x_at	159.8	161.3	315.3	293.8	292.5	129.8	338.8	274.8	332.8	452.3
212812_at	186.3	368.8	124.5	178.5	545.8	176.5	129.3	119	211.3	201
212813_at	259.8	95.3	278	162.3	149.8	105.8	288	299.8	414.5	345.8
212814_at	111.5	102	141.8	135.8	144.8	126.5	136	132	241.8	312
212815_at	130.5	125	182.5	201.3	181.5	135.8	202.5	214.3	269.3	264.8
212816_s_at	95	71.3	103.3	115	154.5	85	111	123.5	124.5	247.5
212817_at	210.5	143	241.3	280.5	294	205.5	231.8	241.3	235.5	302
212818_s_at	249	215	326	332.3	518.3	277.5	265.3	345	353.5	381.8
212819_at	71	57	85	86	118.3	78.5	92.3	92	106.5	181.8
212820_at	78.3	57.5	97	83	85.5	79.8	141.3	114	190.3	158
212821_at	132	111.3	142	164.5	162	124.5	136	163.3	179.5	258.8
212822_at	127.8	126.8	207.3	201	196.8	133.8	188.5	188.3	237.5	324.3
