gene	K_18	K_19	G_20	K_21	K_22	K_23	G_24	G_25	G_26	G_27
204157_s_at	151.8	157.5	245.3	320	270.5	158.8	180.8	243.8	224	277
204158_s_at	234.5	328.3	440.3	453	561.3	526.3	467.5	523	437.5	482
204159_at	81.5	66.5	67.5	72.3	91.8	69.3	100.8	69.3	99.5	189.5
204160_s_at	137.5	123	188.3	258.8	196	124	161.3	215.5	216.3	266
204161_s_at	78.3	68.8	77.3	88.5	101	75.3	118.3	90.8	125.3	201
204162_at	78.5	69.3	91.5	83.5	87.3	85.8	80.8	75.3	103.8	158.3
204163_at	112	90.5	131.3	124	125	111.5	137	126.5	124.3	255.8
204164_at	186	246.5	498.8	264	360.5	231.5	447.8	423.5	480.5	692
204165_at	104.8	78	143.5	100	102.5	117	124	108.5	168.3	221.5
204166_at	204.3	169.5	304.8	281.8	346.3	243.3	290.5	244.3	336.3	460.3
204167_at	164	122.5	193	196	233.5	163.3	166.8	179.8	172.8	276
204168_at	181.5	130.5	198.8	241.8	243.5	174.5	221	187.3	229.8	270.5
204169_at	184	188.3	344	276	386	209.3	331.5	300.3	359	406.8
204170_s_at	105.8	92.3	126.5	115.8	175.3	111.5	151.8	116.3	139.3	217
204171_at	84	93.5	119	144.5	147.5	107.5	138.5	153	149.3	180.5
204172_at	90.3	76.5	104.3	95.3	151.5	87.3	89.8	96.5	126	143.8
204173_at	160.3	191.3	199.8	206.5	247	200.8	198.3	191.5	193.3	260.5
204174_at	664	440.8	788.3	295.3	970.3	289.3	554.3	754.5	798.5	671.3
204175_at	120.3	157.3	240.8	169.3	213	158.5	216.3	180	236	293.3
204176_at	81.8	79.8	90	95.3	114	80.3	84.3	103.3	122.8	144
204177_s_at	174.3	168	268	238.8	299.8	199.8	240.5	256.3	284	367.5
204178_s_at	184.8	253.5	320.3	241.3	507.8	296.5	252	328.5	349.5	361.3
204179_at	167.8	124.5	201.3	226.3	241.8	129.8	199	175.3	222.8	341.8
204180_s_at	156.3	113.8	185	230.5	236.3	151	174	189.5	221	303.5
204181_s_at	210.8	156.8	240	256.5	279.3	189	252.3	226.3	276.3	403.8
204182_s_at	154.8	113.8	189.8	225.5	237.5	124.5	178.5	198.8	209.3	268.3
204183_s_at	135.3	122	247.8	284.3	239.3	162	253.5	246.5	232.3	324.5
204184_s_at	135.8	107.8	228.5	287.5	203.3	143.5	190.3	236.3	233.5	268
204185_x_at	199.5	167	242	238.5	298	149.5	256.5	250.5	302.8	230.8
204186_s_at	139	135.3	164.5	162	239.5	125.3	166.5	199.8	206	215.3
204187_at	115.5	110.3	139.5	142	153.8	115.5	140.5	110	157.5	279.8
204188_s_at	161.3	134.3	223.5	207	271.8	165.5	166	198	213	394.3
204189_at	289.3	215.3	394	442.5	417.3	294.8	403.3	379.8	330.3	459
204190_at	225	228.5	406.8	278.5	479.5	234.3	302.5	450	461	444.5
204191_at	123	103.3	152.3	173.8	177.3	135.5	168.3	164.3	190.3	262.8
204192_at	1588.3	1818.8	6122	3793.5	4510.8	2063.5	3805.8	5181.3	5096.3	5143.3
204193_at	442.8	653.8	723	602.3	1210.3	749.3	661.8	801.8	751	678.3
204194_at	125	111	347.5	236.8	181.8	130.8	253.8	296.8	490.3	280
204195_s_at	126.3	95	163.3	155	176.3	120	145	145.3	196.3	273.8
204196_x_at	115.8	74.3	134.3	131.3	135	114	144.8	131.5	129.5	244.5
204197_s_at	278.3	455.8	505.8	396.3	576.5	383	469.8	504.5	692.3	616.5
204198_s_at	330.3	589.5	1037	632.8	995.3	344	727.8	883.3	1083.8	846.8
204199_at	208.5	180.5	207.8	286.3	394.5	293.8	214	232	177.3	278.8
204200_s_at	111.5	92.8	129.3	151	155.5	123.8	142	126.5	135.3	233.5
204201_s_at	62	56	72.8	77	72.5	67.3	80	67.8	84.5	139.5
204202_at	124.3	77	112.8	130.5	122.8	114	139.3	110.3	145.3	259.8
204203_at	111.5	113	166.8	181	209.3	109.3	173.3	144	169.3	251.3
204204_at	116.5	102	140	160	162.5	116.5	164.5	151	197.5	248
204205_at	332.5	690.5	267.3	649	1107.8	578	281.8	234	267.5	296.3
204206_at	190	172.5	307.3	244	310.3	191.5	230	285	304	387.3
204207_s_at	254.5	178.8	308.5	287.3	251.5	144.5	373.3	421.3	370.3	388.8
204208_at	257.5	153	166.8	139.3	116.3	104	157.3	242.3	175.3	227.3
204209_at	200	178	275.8	304.3	362.3	199.8	255.8	275.3	273	300.5
204210_s_at	80.3	64.5	87	106	120	81.3	93.8	88.3	118	223.3
204211_x_at	207.3	228.8	264.3	241.5	253	161.5	255.3	248	245.8	265
204212_at	160	157	259.5	227.8	290	222.8	255.5	235.5	259	344.5
204213_at	179	118	205.3	416.5	232.3	168.3	191.5	203.3	232	414.8
204214_s_at	249	183.8	250.3	248.5	334.3	198	274.3	267	307.5	332.8
204215_at	298.5	439	615.3	460	564.5	313.5	685.3	532.3	574.8	781.3
204216_s_at	227.5	217	381.5	357.3	381.3	264.3	517.3	414.3	327.8	320.5
204217_s_at	115	90.5	126.5	153.3	163.3	119	163.5	132	162.8	317.8
204218_at	222.5	186.3	307	340.3	360.3	220.5	282	273.3	337.8	399
204219_s_at	493.5	367.3	591.8	604	624.3	380.8	693.5	552.5	579.3	613.8
204220_at	520.3	896.8	853.5	582.3	699	508.5	677	811.5	877.3	897.3
204221_x_at	122	113.3	258.8	251.8	192	261.8	290.5	333	302.5	245.8
204222_s_at	105.8	107	365.5	272.3	166.3	181	354.3	424.8	301	266.5
204223_at	185	155	305	274.5	349	194.5	241.3	274	330.8	303.3
204224_s_at	105.5	195.3	260.5	162.5	223	163.3	258.3	250.8	328.8	260
204225_at	96.8	86.8	123.5	113.8	142.8	104.5	105.3	130.8	146	193.8
204226_at	152	121.5	163	150	231.8	121.5	159.5	166.8	196.8	258.8
204227_s_at	123	112	167.8	161.5	194.3	133.8	177.5	153	182.3	320
204228_at	184.5	267.3	393.3	294.3	455.8	302.8	362.3	388.3	402.5	546.3
204229_at	265.5	190.8	289.8	369.8	416.5	212.5	344.8	327.5	331.3	364.8
204230_s_at	172	120	224.8	240.3	250.3	159.8	239	228	215.5	285.3
204231_s_at	119.8	116.3	171.5	158.5	188.3	117.8	147.5	162.8	177	224.8
204232_at	170	159.5	398.5	216.8	217	176.8	405.8	479	532.5	483.8
204233_s_at	150	150.8	202.8	231.3	300	183.3	194.3	222.8	215.5	295.8
204234_s_at	180.3	128	244	191.5	258.8	181.5	193.5	233.3	220.8	240
204235_s_at	82.3	69.8	80	105	119	85.5	91.5	87.8	94.3	172.8
204236_at	117	160.3	294.3	127.3	264.3	107.5	272.5	295.5	381	256
204237_at	90.3	57.3	82	90	100.8	77.3	80	72	102.3	152.5
204238_s_at	106	110.8	128.3	160.8	187.5	126.5	155.3	160	191.8	262.8
204239_s_at	177.3	99.8	192	228	238.8	148.5	179.8	201.5	197	465.5
204240_s_at	114.3	90	109.8	153	144.3	104.3	117.3	144.8	159.5	190.3
204241_at	112.3	100	130.8	137	177.5	117	128.3	136.3	142.3	256
204242_s_at	170.5	171	226.5	225.5	264.8	147.3	231.5	225	292.3	325
204243_at	192.5	193	252	244	236.3	219.3	299	298	301.3	321.8
204244_s_at	114.3	110	130.5	164.5	133	111.3	164.8	142.3	174.5	198.8
204245_s_at	195.8	157.3	311.8	265.5	390.8	165	278	278.8	347.3	362.8
204246_s_at	243.3	282	388.5	361.5	507.5	257.5	431.8	333	472.8	566
204247_s_at	152.8	142.8	232	249	286	209	238.5	219.3	231.3	326.8
204248_at	132	106.8	180.5	176.5	195.5	133	160.8	169	183.5	263.3
204249_s_at	75.5	70.5	245.3	89.5	99.3	76.3	287	206.5	291	288
204250_s_at	128.5	100.8	162.5	160.8	163.5	121.5	153.3	181.5	171.3	304.8
204251_s_at	194.8	144.3	279.3	291	293.5	216.3	208.3	290.3	239.8	284.5
204252_at	200.8	155.3	227.5	233.3	326.3	189.5	231.8	225.5	235	275.3
204253_s_at	209	168.3	262.8	290.3	277	193.3	239.3	220.3	252	306.3
204254_s_at	125	113.8	147.5	184.8	178	125.5	130.8	143.8	159	224.5
204255_s_at	96.5	105.8	113.8	111.3	122	93	129.8	106.3	131	270.3
204256_at	74.5	62.3	85.5	108	102.5	80.3	91.5	90	107	183.8
204257_at	144	215.8	360	186.3	300.5	263.8	269.5	353	321.5	383.3
204258_at	188	176	360.8	279.3	258.8	279	420	440.3	449.8	451
204259_at	106.3	79.5	101.5	148	116	94.3	158	122.3	136.5	205.8
204260_at	101.8	95.3	122	135.8	143.3	114.5	109.3	131.3	169.8	197.5
204261_s_at	94.8	73.3	89.5	91.3	110.3	92.3	102.3	83.3	135.3	194
204262_s_at	105.8	89.5	138.5	133.5	170.3	115.5	126.3	128.3	162	240.5
204263_s_at	181.8	137.3	256.5	183	329.5	149.5	208.3	240.3	255.5	317
204264_at	87.3	87.5	102	96.3	129.8	87	92.3	88.5	115.5	177
204265_s_at	645.3	495.5	1691.5	863.8	1241.8	692.5	1534	1519.5	1467	1491.5
204266_s_at	136.5	165.8	182	274	331	226	192.8	166.3	190	260
204267_x_at	198.3	166	268	320	306	164.8	273.8	276.8	293.8	355.3
204268_at	113.3	97	156.5	179.5	163.3	124.5	150.8	139.5	177	279.3
204269_at	363.5	275.8	615.3	470.3	720.8	433.8	545.5	543.8	506	594
204270_at	119.5	68.5	112.3	162.3	134	107.3	147.5	143.5	125.3	199
204271_s_at	105	79.3	96.3	119.3	118.3	97.5	106.3	110.8	140.8	180.8
204272_at	125	104.3	163.8	177.3	246	134.8	164.5	174	200	297.8
204273_at	58.8	52	60.3	68.8	71.8	67.3	66.5	61	71	121
204274_at	207.8	214.5	287.8	216.8	306.8	206	194.3	290.8	303.5	315.5
204275_at	132.8	133.5	199.3	166	201	165.5	212	219.3	199.8	362.8
204276_at	109.8	80.8	131.8	145.3	161	112	120.5	112	127	222.3
204277_s_at	139	126.5	195.3	171.5	217.5	139.3	184.8	175.8	195	290.3
204278_s_at	141.3	108.5	159.8	183.5	191	135.5	145.5	188.5	189.5	252
204279_at	370.3	697.5	701.8	428.3	698.5	473.5	767.8	733.3	865	824
204280_at	149.5	149.3	201.5	261.3	266	217	204.5	220	240.5	359.8
204281_at	194.8	171	234	265.3	289.5	210	203	247.8	258.3	287
204282_s_at	192.5	191	289	288	372	261	262.5	302.8	299.3	352.8
204283_at	117	104.3	177	162	209.5	114.3	189	162.5	211.3	256.8
204284_at	116.3	89.5	165.3	173	189	129.5	161.8	147.5	171.3	242.5
204285_s_at	794	474.5	758.8	1772.5	1410.5	583.5	1018	827.5	682.5	820.3
204286_s_at	159.3	184.5	202	356.3	373	155.5	157.5	221.8	322.3	316.8
204287_at	231.5	145.5	234.3	281.3	273.5	176.8	222	239.8	271	297.5
204288_s_at	124.8	100.5	190.5	178	186.3	131.3	179	171.3	194.5	279.5
204289_at	95.5	80.3	133.3	142.8	154.3	106.8	132	137.3	135	281
204290_s_at	159	136.8	222	268	317.8	156.3	207	183	249.5	283
204291_at	92.3	77.8	98.3	104.5	116	86.3	108	110	146.5	170
204292_x_at	184.8	142.3	238.5	245.8	244.3	169.3	239.5	226.5	231.5	321
204293_at	168.8	158	243.8	260	305.8	187.8	242.3	250.3	247	345.8
204294_at	254	224.8	354.5	366.3	481	321.8	341.5	425.5	404.3	403.5
204295_at	278.3	376	496.5	353.3	595.3	347.8	521.3	462	452	605
204296_at	115.3	64.5	104.3	119.8	145.5	112	118.5	124	124.8	206.5
204297_at	145.5	137.8	206.8	163.3	263	147.8	231	259	275	323.8
204298_s_at	102.3	90.3	126.5	120.3	135.5	105.5	111.5	120.3	139	212.5
204299_at	152.8	166.8	189	237.8	209	144.5	193.3	207.3	290	281.3
204300_at	96.8	96.3	144.3	134.5	182.3	133.3	138	136	151.8	258.5
204301_at	119.5	110.5	144.3	130.8	177.5	112.3	134	151.3	175.8	244.5
204302_s_at	153.5	132.8	233.5	235.3	238.5	173	208	236.3	243.3	330.3
204303_s_at	117.8	101.5	150.3	172.8	210.3	113.3	173.3	156.3	189	307
204304_s_at	90.8	75.5	94.3	127.3	117.8	94.5	115.8	87.3	122	189.3
204305_at	147	112	210	200.8	221.5	156.3	177.3	159.3	172.3	275.8
204306_s_at	164.3	133.5	217	238.8	220.8	168.8	187	213.5	222.5	311
204307_at	166.3	131	216	189.8	263.3	166	187.5	233.3	240.3	240.3
204308_s_at	125.3	89.8	177.5	146.3	212.5	147.3	161.3	174.8	189.3	261
204309_at	112.5	82	117	158.8	146.3	101.3	107.3	116.3	138.5	276.3
204310_s_at	123.3	99.3	104.3	126	146.3	111.3	109	91.8	129.5	262.5
204311_at	194.5	138.3	247.3	244.5	255.5	177.3	220.3	202.8	211	312.5
204312_x_at	222	133.3	325.5	326.5	310	203.3	286.3	352.3	338.8	397
204313_s_at	286	235.8	387.8	348.8	312.3	257	306	429.3	409	388.3
204314_s_at	126.8	114.5	184.3	214.8	162.5	134	157	204.3	271	238.5
204315_s_at	133.3	114.3	153	182.5	195.8	130.5	153.3	148.3	201	247
204316_at	124	111.5	149.5	175.5	175.5	122	146	141	179.5	251.8
204317_at	97	81.8	123.5	131	134.5	97.8	98	119.3	143.3	220
204318_s_at	113	100.8	142	137.5	146.8	104.8	136	133.8	156.5	247.3
204319_s_at	266.5	296.5	233.8	429.3	880.8	354.3	389.5	224.3	413.3	357.8
204320_at	96	65	95	110.5	120.5	93.3	111.3	94	113.5	225.8
204321_at	234.8	148.5	194.5	278.5	274	187.5	201	201.8	187.8	268.3
204322_at	134.3	113.5	163.5	160.5	182	140.5	168.3	179.8	174.8	346
204323_x_at	163	114.5	151.3	197.3	197.5	122.8	178.5	147	158.5	271
204324_s_at	94.5	80.5	105.8	112	135.8	103.5	121.3	96.5	148.5	202
204325_s_at	119.5	87.5	127.3	149	144	118.3	130	136.8	156	272.8
204326_x_at	127.5	135.5	144.5	194	199.3	180.3	160.5	160.5	213.3	284
